,num_bikeshares,fatalities_cyclists,fatalities_pedestrians,majorinjuries_cyclists,majorinjuries_pedestrians,minorinjuries_cyclists,minorinjuries_pedestrians,speeding,total_vehicles
151,10130,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0
152,14017,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
153,11168,,,,,,,,
154,2103,,,,,,,,
155,14763,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
156,14145,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
157,14901,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
158,15706,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0
159,15558,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0
160,13709,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
161,11942,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
162,10811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
163,15818,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
164,14727,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
165,15372,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0
166,15817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
167,15185,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
168,12063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
169,12555,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
170,12035,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
171,11961,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0
172,13896,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
173,6538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
174,11190,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
175,12565,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
176,14147,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
177,14774,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
178,12917,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
179,14836,0.0,0.0,0.0,0.0,5.0,1.0,0.0,10.0
180,14037,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0
181,13082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
182,10461,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
183,11842,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
184,12794,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
185,14685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
186,14224,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
187,14305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,17066,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0
189,14947,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
190,14306,,,,,,,,
191,13539,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
192,14334,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0
193,14896,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
194,15250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
195,15755,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
196,13110,,,,,,,,
197,13139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
198,11947,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
199,15324,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
200,15212,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
201,16013,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
202,2794,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
203,8226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
204,10361,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
205,7580,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
206,9661,,,,,,,,
207,14840,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
208,13532,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
209,16009,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0
210,14888,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
211,10235,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
212,13486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
213,14199,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0
214,11858,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0
215,11332,,,,,,,,
216,15011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
217,12928,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
218,13060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,12663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
220,13542,,,,,,,,
221,14265,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
222,13938,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
223,12477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
224,10002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,12803,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
226,14410,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
227,14492,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
228,13821,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
229,12734,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
230,13975,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
231,12820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,13152,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0
233,9760,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
234,14099,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
235,15181,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
236,14903,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
237,14660,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
238,12420,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
239,11904,0.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0
240,12146,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0
241,11918,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
242,11790,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
243,11603,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
244,10832,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
245,14231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
246,10806,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
247,10925,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
248,12560,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
249,12686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
250,9417,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
251,7946,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
252,2800,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
253,9968,,,,,,,,
254,12104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
255,12382,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
256,12581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
257,12864,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0
258,13341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
259,11908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
260,6944,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
261,10625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
262,13700,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
263,13619,,,,,,,,
264,12714,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0
265,13825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
266,2786,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
